Tap_S,Tap_H,Tan_S,Tan_L,Tan_R
3.88,5.36,1.04,1.16,0.8
4.60,6.00,3.12,4.2,3.68
5.24,6.64,5,6.96,6.76
5.92,7.36,6.88,9.48,9.88
6.60,8.64,8.88,12.24,12.76
7.92,9.32,10.96,14.6,15.8
8.64,10.64,12.8,17.32,18.88
9.36,12.00,14.68,19.84,21.84
10.08,12.76,16.84,22.4,24.68
10.72,13.48,18.76,25.04,27.72
11.40,16.12,20.84,27.8,31.12
12.08,17.64,22.88,30.36,34.32
12.76,18.24,24.96,32.96,37.32
13.44,21.52,26.88,35.72,40.12
14.12,22.88,29.08,38.16,42.8
14.80,24.16,31.2,41.64,45.72
15.44,25.64,33.4,44.96,
16.20,27.00,35.64,,
17.52,28.48,37.72,,
18.16,29.80,39.56,,
18.76,30.92,41.76,,
20.12,32.56,44.16,,
21.56,35.20,46.08,,
22.84,36.52,,,
24.28,37.16,,,
25.64,37.76,,,
26.92,38.40,,,
28.56,39.04,,,
29.88,39.60,,,
31.20,41.60,,,
32.48,45.80,,,
33.44,,,,
33.80,,,,
35.08,,,,
35.80,,,,
36.48,,,,
37.08,,,,
37.72,,,,
38.36,,,,
39.00,,,,
40.36,,,,
41.00,,,,
41.72,,,,
